benchmark,clf_name,train_roc,train_prn,test_roc,test_prn
abalone_benchmark_0042.csv,KNN,0.5535,0.7748,0.5614,0.8108
abalone_benchmark_0042.csv,IForest,0.5045,0.5298,0.5111,0.5526
abalone_benchmark_0042.csv,HBOS,0.5424,0.7391,0.5534,0.7632
abalone_benchmark_0042.csv,LOF,0.5058,0.5364,0.5139,0.5556
abalone_benchmark_0042.csv,CBLOF,0.5403,0.7086,0.5827,0.8298
abalone_benchmark_0043.csv,ABOD,0.5494,0.7616,0.5741,0.85
abalone_benchmark_0043.csv,KNN,0.5521,0.7748,0.5873,0.8511
abalone_benchmark_0043.csv,IForest,0.4938,0.4834,0.5291,0.6279
abalone_benchmark_0043.csv,HBOS,0.5303,0.6689,0.5423,0.7
abalone_benchmark_0043.csv,LOF,0.4938,0.4834,0.5238,0.6216
abalone_benchmark_0043.csv,CBLOF,0.5004,0.5166,0.5476,0.6875
abalone_benchmark_0044.csv,ABOD,0.5576,0.7881,0.5642,0.8235
abalone_benchmark_0044.csv,KNN,0.5603,0.8013,0.5535,0.7647
abalone_benchmark_0044.csv,IForest,0.5285,0.6424,0.522,0.5833
abalone_benchmark_0044.csv,HBOS,0.5377,0.6887,0.5492,0.7
abalone_benchmark_0044.csv,LOF,0.5113,0.5563,0.5202,0.561
abalone_benchmark_0044.csv,CBLOF,0.5179,0.5894,0.528,0.6
abalone_benchmark_0045.csv,ABOD,0.56,0.8013,0.5278,0.6562
abalone_benchmark_0045.csv,KNN,0.5653,0.8278,0.5491,0.75
abalone_benchmark_0045.csv,IForest,0.5163,0.5828,0.525,0.6552
abalone_benchmark_0045.csv,HBOS,0.5501,0.7714,0.5435,0.7857
abalone_benchmark_0045.csv,LOF,0.5176,0.5894,0.5068,0.5278
abalone_benchmark_0045.csv,CBLOF,0.5494,0.7483,0.5412,0.7027
abalone_benchmark_0046.csv,ABOD,0.5551,0.7682,0.5811,0.875
abalone_benchmark_0046.csv,KNN,0.5604,0.7947,0.5729,0.8857
abalone_benchmark_0046.csv,IForest,0.4915,0.4503,0.507,0.525
abalone_benchmark_0046.csv,HBOS,0.5352,0.6689,0.552,0.7317
abalone_benchmark_0046.csv,LOF,0.5313,0.649,0.5306,0.6571
abalone_benchmark_0046.csv,CBLOF,0.5723,0.8543,0.5892,0.8667
abalone_benchmark_0047.csv,ABOD,0.5617,0.8146,0.5326,0.7
abalone_benchmark_0047.csv,KNN,0.5604,0.8079,0.5433,0.7353
abalone_benchmark_0047.csv,IForest,0.5154,0.5828,0.4825,0.4054
abalone_benchmark_0047.csv,HBOS,0.5374,0.7302,0.5301,0.6571
abalone_benchmark_0047.csv,LOF,0.5154,0.5828,0.506,0.5385
abalone_benchmark_0047.csv,CBLOF,0.5551,0.7815,0.5354,0.6757
abalone_benchmark_0048.csv,ABOD,0.5486,0.7417,0.5862,0.9024
abalone_benchmark_0048.csv,KNN,0.5605,0.8013,0.5705,0.8857
abalone_benchmark_0048.csv,IForest,0.5049,0.5232,0.5069,0.5405
abalone_benchmark_0048.csv,HBOS,0.5301,0.6471,0.5332,0.6585
abalone_benchmark_0048.csv,LOF,0.5155,0.5762,0.5281,0.6486
abalone_benchmark_0048.csv,CBLOF,0.5446,0.7219,0.5677,0.825
abalone_benchmark_0049.csv,ABOD,0.5528,0.7815,0.5697,0.8049
abalone_benchmark_0049.csv,KNN,0.5554,0.7947,0.5662,0.875
abalone_benchmark_0049.csv,IForest,0.513,0.5828,0.5157,0.5862
abalone_benchmark_0049.csv,HBOS,0.5396,0.7181,0.5367,0.7407
abalone_benchmark_0049.csv,LOF,0.509,0.5629,0.5457,0.7
abalone_benchmark_0049.csv,CBLOF,0.5395,0.7152,0.5613,0.8056
abalone_benchmark_0050.csv,ABOD,0.56,0.8079,0.5487,0.7368
abalone_benchmark_0050.csv,KNN,0.5574,0.7947,0.5354,0.6857
abalone_benchmark_0050.csv,IForest,0.5123,0.5695,0.4825,0.4054
abalone_benchmark_0050.csv,HBOS,0.5295,0.6556,0.5221,0.6176
abalone_benchmark_0050.csv,LOF,0.515,0.5828,0.5169,0.5789
abalone_benchmark_0050.csv,CBLOF,0.5017,0.5166,0.4748,0.3864
abalone_benchmark_0051.csv,ABOD,0.5499,0.7483,0.5601,0.75
abalone_benchmark_0051.csv,KNN,0.5619,0.8079,0.552,0.7317
abalone_benchmark_0051.csv,IForest,0.5075,0.5364,0.5206,0.5714
abalone_benchmark_0051.csv,HBOS,0.5532,0.803,0.5519,0.7436
abalone_benchmark_0051.csv,LOF,0.5009,0.5033,0.5257,0.6
abalone_benchmark_0051.csv,CBLOF,0.5539,0.7682,0.5597,0.8056
abalone_benchmark_0052.csv,ABOD,0.5572,0.7815,0.5526,0.7442
abalone_benchmark_0052.csv,KNN,0.5572,0.7815,0.5554,0.775
abalone_benchmark_0052.csv,IForest,0.5135,0.5629,0.5129,0.5714
abalone_benchmark_0052.csv,HBOS,0.544,0.7152,0.5449,0.725
